;Pos.;Participante;Meio de indicação;% dos votos;Eliminado em;edicao;Porcentagem/ Pontos;Porcentagem/ Votos
260;11;Daniel Manzieri;Líder (Munik);;Semana 4;16;53%[71];
261;12;Alan Marinho;Desistente[33];;Semana 3;16;—;
262;13;Laércio de Moura;Casa (7 votos);;Semana 2;16;54%[72];
263;14;Harumi Ishihara;Líderes (Alan, Daniel, Ronan e Tamiel);;Semana 1;16;65%[73];
264;15–16;Fernanda Liberato;Disputa pelas últimas vagas;;Semana 1;16;47%[8];
265;15–16;William Oliveira;Disputa pelas últimas vagas;;Semana 1;16;39%[8];
266;1;Emilly Araújo;Finalista;58%[3];—;17;;
267;2;Vivian Amorim;Finalista;41%[3];—;17;;
268;3;Ieda Wobeto;Finalista;1%[3];—;17;;
269;4;Marcos Härter;Expulso[142];—;Semana 12;17;;
270;5;Marinalva de Almeida;Líder (Emilly);77,17%[143];Semana 11;17;;
271;6;Ilmar Fonseca;Líder (Emilly);55,92%[144];Semana 10;17;;
272;7;Daniel Fontes;Líder (Ilmar);68,38%[145];Semana 9;17;;
273;8;Rômulo Neves;Líder (Ilmar);65,12%[146];Semana 8;17;;
274;9;Roberta Freitas;Líder (Marcos);79,43%[147];Semana 7;17;;
275;10;Pedro Falcão;Líder (Ilmar);71,71%[51];Semana 6;17;;
276;11;Elis Gonçalves;Líderes (Daniel e Emilly);80,32%[47];Semana 5;17;;
277;12;Manoel Rafaski;Líder (Pedro);57,45%[148];Semana 4;17;;
278;13;Luiz Felipe Ribeiro;Casa (5 votos);73,81%[149];Semana 3;17;;
279;14;Mayara Motti;Casa (7 votos);81,60%[150];Semana 2;17;;
280;15;Gabriela Flor Bitencourt;Casa (7 votos);59%[151];Semana 1;17;;
281;16–17;Mayla Araújo;Disputa pelas últimas vagas;45%[15];Semana 1;17;;
282;16–17;Antônio Rafaski;Disputa pelas últimas vagas;24%[15];Semana 1;17;;
283;1;Gleici Damasceno;Finalista;57,28%[4];—;18;;
284;2;Kaysar Dadour;Finalista;39,33%[4];—;18;;
285;3;Ana Clara Lima & Ayrton Lima;Finalistas;3,39%[124];—;18;;
286;4;Paula Amorim;Líder (Kaysar);62,19%[125];Semana 12;18;;
287;5;Breno Simões;Casa (1 voto);88,34%[126];Semana 12;18;;
288;6;Jéssica Mueller;Casa (2 votos);73,96%[127];Semana 11;18;;
289;7;Viegas de Carvalho;Casa (4 votos);57,64%[128];Semana 11;18;;
290;8;Wagner Santiago;Líder (Kaysar);59,50%[129];Semana 10;18;;
291;9;Caruso Junior;Casa (4 votos);81,56%[130];Semana 9;18;;
292;10;Diego Sabádo;Líderes (Ana Clara & Ayrton e Gleici);81,07%[131];Semana 8;18;;
293;11;Patrícia Leite;"Paredão ""Vai e Volta"" (Gleici)";94,26%[132];Semana 7;18;;
294;12;Mahmoud Baydoun;Casa (3 votos);57,23%[133];Semana 6;18;;
295;13;Lucas Fernandes;Sorteio (Kaysar);49,92%[134];Semana 5;18;;
296;14;Nayara de Deus;Líderes (Ana Clara & Ayrton);92,69%[135];Semana 4;18;;
297;15;Ana Paula Costa;Casa (7 votos);89,85%[136];Semana 3;18;;
298;16;Jaqueline Grohalski;Prova do Líder (Consequência Surpresa);65,25%[137];Semana 2;18;;
299;17;Mara Telles;Líder (Mahmoud);55,45%[138];Semana 1;18;;
300;18–19;Jorge Lima;Disputa pelas últimas vagas;21,24%[50];Semana 1;18;;
301;18–19;Eva Lima;Disputa pelas últimas vagas;10,66%[50];Semana 1;18;;
302;1;Paula von Sperling;Finalista;;—;19;;61,09%[6]
303;2;Alan Possamai;Finalista;;—;19;;38,91%[6]
304;3;Carolina Peixinho;Casa (1 voto);;Semana 13;19;;54,67%[167]
305;4;Hariany Almeida;Expulsa[98];;Semana 13;19;;—
306;5;Rízia Cerqueira;Casa (3 votos);;Semana 12;19;;61,66%[168]
307;6;Gabriela Hebling;Líder (Paula);;Semana 12;19;;60,64%[169]
308;7;Rodrigo França;Líder (Paula);;Semana 11;19;;69,71%[170]
309;8;Elana Valenária;Líder (Alan);;Semana 10;19;;51,09%[171]
310;9;Danrley Ferreira;Casa (3 votos);;Semana 9;19;;61,21%[172]
311;10;Tereza Souza;Líder (Rízia) / Paredão (6,23%);;Semana 8;19;;5 de 8 votos[41]
312;11;Isabella Cecchi;Líder (Elana);;Semana 6;19;;63,81%[173]
313;12;Maycon Santos;Líderes (Danrley e Elana);;Semana 5;19;;55,72%[174]
314;13;Diego Wantowsky;Líderes (Danrley e Elana);;Semana 4;19;;52,47%[175]
315;14;Hana Khalil;Líder (Carolina);;Semana 3;19;;47,98%[176]
